"ID","DemAffl","DemAge","DemGender","PromClass","PromSpend","PromTime","TargetBuy"
43631497,5,43,"M","Tin",0.01,4,0
14364565,10,52,"F","Gold",12106.7,7,0
29201942,8,46,"F","Tin",0.01,5,1
18593704,9,60,"F","Silver",4000,1,0
26168065,7,50,"F","Tin",0.01,4,0
27001237,3,57,"M","Tin",0.01,8,0
49582684,16,52,"M","Gold",15000,10,1
30363101,7,74,"M","Tin",0.01,8,0
42560642,7,55,NA,"Platinum",20538.69,3,0
13030779,10,62,NA,"Platinum",34105.33,15,0
3467155,6,46,"F","Silver",3000,1,0
13949136,11,66,"F","Silver",1000,8,0
52204763,11,44,"F","Tin",0.01,8,1
15342328,16,71,NA,"Gold",9000,7,0
24604976,9,67,"M","Gold",8000,5,0
46057791,8,47,"U","Tin",0.01,4,0
9059784,8,48,"M","Silver",1000,4,0
34085439,3,43,"F","Silver",600,8,0
22958258,15,78,"F","Silver",2000,5,1
7277792,6,30,"F","Tin",0.01,5,0
11798238,18,40,"M","Silver",3000,8,1
24881597,11,32,"M","Silver",420,4,0
49488041,11,63,"F","Gold",6000,1,1
47204151,10,41,"F","Silver",420,4,0
34016348,6,71,"F","Silver",558.85,21,0
26464128,12,62,"F","Platinum",20308.51,3,0
12645745,4,36,"F","Tin",0.01,4,0
22747966,5,58,"F","Silver",5000,6,0
30549051,NA,74,"F","Gold",7500,5,0
17271134,11,53,"F","Tin",0.01,4,0
29029414,11,60,"F","Gold",7000,6,0
35294767,11,36,"F","Platinum",40000,4,0
3782018,16,41,"M","Tin",0.01,7,0
27443264,5,50,"M","Tin",0.01,8,0
49848900,7,71,"M","Tin",0.01,8,0
43293362,NA,66,"M","Gold",19207.84,3,0
47896622,6,61,"M","Platinum",33088.81,12,0
2920816,7,71,NA,"Silver",1000,4,0
30034086,5,71,"F","Silver",3000,12,0
34955824,12,43,"F","Tin",0.01,5,1
35434313,7,45,"M","Silver",2400,1,0
10277641,12,67,NA,"Silver",3000,5,0
35970070,10,NA,"M","Tin",0.01,4,0
35012800,10,71,"M","Tin",0.01,8,1
36058102,7,70,"M","Silver",3000,8,0
15887030,5,47,"M","Silver",1711.02,3,0
10043128,6,74,NA,"Silver",50,2,0
33790040,6,38,"F","Tin",0.01,4,0
33878060,6,69,"U","Gold",6000,7,0
323039,8,49,NA,"Silver",4000,3,0
25389114,7,79,"M","Gold",6053.35,7,0
5431816,16,57,"F","Tin",0.01,0,0
35535438,10,78,"M","Silver",3000,11,0
34136327,10,43,"F","Silver",3000,5,1
39545799,11,48,"M","Silver",2000,1,0
18556582,18,35,"F","Gold",7000,10,1
30033519,16,70,"F","Gold",6000.01,8,1
36075732,14,44,"F","Tin",0.01,7,1
28647572,10,48,"F","Gold",6000,3,0
17128331,6,48,"M","Silver",245.61,11,0
4350251,3,54,"F","Gold",6000,2,0
11222328,13,30,NA,"Tin",0.01,5,0
48091180,6,67,NA,"Silver",4000,2,0
33022581,8,76,"U","Gold",11000,2,0
39431815,13,62,"F","Silver",4900,6,0
13150073,5,39,"F","Tin",0.01,5,0
39432811,10,66,"F","Gold",6000,2,0
9602151,2,53,"F","Silver",3052.66,7,0
41078952,3,42,"M","Tin",0.01,8,0
49771649,15,54,"F","Gold",6000,6,1
17327024,6,54,"M","Tin",0.01,9,0
27386589,10,51,NA,"Gold",19126.39,3,1
26032430,12,53,"F","Silver",300,11,0
10092609,12,47,"F","Silver",3000,3,0
35397850,NA,53,"F","Gold",6762.98,29,0
14145332,10,65,"F","Silver",480,5,1
3581233,13,33,"U","Tin",0.01,5,0
43634615,12,78,"U","Gold",6000,5,0
28836146,6,69,"U","Gold",12000,6,0
28956699,NA,48,NA,"Tin",0.01,5,0
37226661,6,66,"F","Gold",6000,5,1
33754140,5,51,"F","Silver",5000,1,1
29128943,11,39,"M","Tin",0.01,7,1
7139853,11,65,"F","Gold",7000.02,4,0
31867460,12,48,"M","Tin",0.01,9,0
49676140,10,45,NA,"Silver",1000,3,0
42618950,11,60,"F","Gold",10000,2,0
34752567,6,42,"M","Tin",0.01,4,0
30231442,7,54,"F","Silver",3401.6,4,1
7901739,9,59,NA,"Gold",13000,9,0
8937109,7,50,"M","Silver",600.01,11,0
31654068,9,NA,NA,"Gold",6053.35,NA,0
17164877,11,40,"F","Gold",11000,4,1
6674526,13,51,"F","Silver",4050,1,0
8646961,9,47,"F","Tin",0.01,7,0
38677160,5,72,"M","Platinum",60138.81,27,0
31608007,9,29,"U","Silver",480,5,0
52100496,9,50,"M","Silver",50,9,0
26135825,10,51,"F","Silver",480,12,0
46438353,9,52,"F","Gold",6000,6,1
7061811,6,56,"F","Tin",0.01,5,0
27745945,8,59,"F","Silver",100,1,0
28918509,4,68,"F","Silver",3000,2,0
18802923,9,68,"F","Silver",5000,12,0
47935318,14,60,"M","Tin",0.01,8,0
34438030,12,38,NA,"Silver",2000,2,1
34621560,6,68,"F","Silver",3000,18,0
38003305,12,49,"M","Silver",0.02,5,0
34214522,6,30,"F","Tin",0.01,5,0
12942049,12,41,"F","Silver",420,1,1
39881667,6,65,"F","Gold",12000,8,0
4517490,9,NA,"F","Gold",15000,3,0
43094360,4,39,"M","Silver",3000,9,0
28624785,7,74,"M","Gold",6000,14,0
29117119,9,59,"M","Silver",3000,2,0
3616096,26,55,"F","Gold",6000,13,1
10263950,12,41,"F","Platinum",25217.12,1,1
52578949,9,62,"M","Tin",0.01,10,0
3748758,13,52,NA,"Tin",0.01,5,0
396192,8,46,"F","Silver",2245,11,1
1314483,9,68,"M","Silver",4250,4,0
10048596,12,52,"F","Gold",5465.13,3,0
28203909,12,31,"F","Tin",0.01,5,1
40355740,9,42,"F","Tin",0.01,8,1
35181067,10,51,"F","Tin",0.01,5,0
10168702,9,61,"F","Gold",7500,12,1
25120514,11,67,"F","Gold",6000,2,1
38263641,12,76,NA,"Gold",6053.35,20,0
20337027,5,53,NA,"Silver",600,5,0
34481237,NA,49,"U","Gold",6000,2,0
8620695,6,61,"F","Tin",0.01,11,1
9629963,11,29,"F","Tin",0.01,5,1
34551618,8,74,"F","Silver",1000,5,1
8116059,7,55,"F","Tin",0.01,11,0
28807634,14,78,"U","Platinum",24277.97,12,0
45394395,4,48,"M","Tin",0.01,5,0
14045931,10,NA,"M","Tin",0.01,4,1
10040684,10,69,"U","Gold",10050.99,3,0
37445134,4,74,"M","Gold",6053.35,7,0
48885420,7,66,"F","Silver",3000,9,0
14455218,8,75,"F","Gold",6000,6,0
13826417,11,62,NA,"Platinum",20423.74,3,0
45587380,15,61,"F","Silver",3000,5,1
42931179,NA,45,"U","Gold",6118,5,0
2335131,8,55,"M","Tin",0.01,9,0
41989777,6,79,"F","Gold",6000,1,1
34835160,14,49,"M","Tin",0.01,8,0
18569447,4,51,"M","Silver",50,9,0
26970767,11,50,NA,"Silver",3000,1,0
1898779,7,68,"M","Tin",0.01,12,0
33521545,9,28,"F","Tin",0.01,7,0
8228795,3,76,"F","Tin",0.01,29,0
46336976,9,50,"F","Gold",13500,1,0
52517303,7,40,"F","Silver",600,1,1
35337679,8,75,"M","Gold",12000,4,0
45033112,5,47,NA,"Silver",1000,1,0
24581003,8,65,"M","Gold",6000,2,0
32592201,8,40,"F","Gold",9500,1,0
14480476,15,43,"F","Silver",1000,5,1
5434203,6,NA,"M","Tin",0.01,4,0
5736242,12,78,"F","Silver",500,10,0
17068320,9,39,"F","Gold",6000,2,1
52714885,5,44,NA,"Silver",3000,2,0
35339361,9,67,"F","Gold",6053.35,6,0
52343836,NA,NA,"M","Tin",0.01,8,1
48457304,10,45,NA,"Silver",600,4,0
31569958,6,45,"M","Silver",0.02,8,0
22527834,11,60,"F","Gold",9000,9,1
23636874,10,53,NA,"Gold",11053.35,7,0
17278066,11,66,"M","Gold",6105.32,14,0
3969983,6,63,"F","Gold",5100,8,0
34488991,10,45,"M","Tin",0.01,9,0
34821550,NA,64,"F","Gold",6053.35,6,0
17783127,10,54,"F","Gold",6053.34,4,0
20120672,7,48,NA,"Tin",0.01,4,0
3581888,12,66,NA,"Gold",6000,2,0
27858596,9,44,NA,"Gold",6107.64,6,0
52780250,11,40,"M","Silver",3000,8,0
28696069,11,69,"F","Gold",9000,8,0
50120732,11,59,NA,"Gold",8000,6,0
52471699,5,25,"F","Silver",35,2,1
23594446,4,78,"U","Gold",6000,4,0
30801982,20,38,"F","Gold",7500,1,1
47297338,7,65,NA,"Silver",5000,4,0
42832308,10,NA,"F","Gold",16000,4,0
30849780,13,43,"M","Tin",0.01,5,1
3662438,6,73,"F","Gold",9107.17,11,0
5436850,6,70,"F","Silver",1550,2,0
41154535,5,50,"M","Silver",50,10,0
33069995,17,NA,"F","Tin",0.01,6,1
47420750,10,47,"F","Silver",2000,5,0
11716827,4,50,"F","Tin",0.01,5,0
38673009,9,77,"F","Silver",1000,6,0
40129782,NA,57,NA,"Silver",1094.53,3,0
6091415,8,39,"F","Silver",100,7,0
30149622,9,48,"F","Gold",12000,2,0
42542920,NA,46,"M","Tin",0.01,5,0
13243594,9,70,"F","Gold",11053.35,6,0
33269960,17,41,"M","Silver",1000,9,1
45110737,6,31,"F","Tin",0.01,7,0
34558035,3,64,"F","Tin",0.01,8,0
43179241,12,54,"U","Silver",3000,6,0
14804034,6,NA,"F","Gold",6000,2,0
35495819,10,51,"U","Tin",0.01,5,0
40386068,11,72,"F","Gold",9000,7,1
14091852,8,43,NA,"Tin",0.01,4,0
17122783,NA,NA,"M","Tin",0.01,NA,0
20330219,3,67,"M","Gold",7400,8,0
10246959,9,58,"M","Tin",0.01,5,0
32871631,9,68,"F","Gold",5997.94,18,0
11358815,8,59,"M","Tin",0.01,7,0
29796660,8,48,NA,"Gold",12000,4,0
48952836,7,51,"F","Silver",624,7,0
52049377,8,72,"F","Silver",3000,6,0
33678029,7,59,"F","Gold",6000,1,1
41424133,3,52,NA,"Silver",920,9,0
30722551,5,50,"F","Silver",0.02,7,0
49816901,5,43,"F","Tin",0.01,7,0
4132688,8,70,"M","Gold",12000,2,0
7122381,10,37,"F","Tin",0.01,5,1
23721480,14,50,"M","Gold",6000,1,0
13437828,8,40,"F","Silver",1000,5,1
49871155,11,56,NA,"Silver",600,4,0
18128270,12,61,"F","Gold",12000,8,0
46348168,4,62,"F","Gold",14000,11,0
27515435,9,49,"F","Tin",0.01,NA,0
9550682,6,NA,NA,"Tin",0.01,4,0
51264630,3,51,"F","Tin",0.01,5,0
35162313,5,64,"U","Silver",1000,8,0
16286669,8,47,"U","Tin",0.01,5,0
15222403,6,49,"M","Silver",2000,4,0
13882325,3,71,"F","Gold",17634.66,3,0
27603970,4,50,"M","Silver",3076.28,5,0
42689882,0,50,"F","Tin",0.01,5,0
11561858,10,70,"M","Silver",1500,8,0
34983194,9,27,"M","Silver",47,1,0
28353404,NA,62,"M","Tin",0.01,9,0
33046324,NA,48,"F","Silver",2045.67,8,0
38596810,3,45,"M","Gold",6053.34,4,0
52732018,3,NA,"F","Silver",3700,5,0
29050286,7,42,"F","Tin",0.01,5,1
3870111,10,47,"M","Silver",50.01,8,0
35542892,10,54,"F","Gold",10937.6,8,0
8636044,10,53,"M","Gold",9500,6,1
35266402,5,33,"M","Silver",3000,1,0
47929750,10,45,"F","Silver",600,8,0
36248025,10,78,"F","Silver",600,5,1
26598442,15,48,"F","Silver",0.02,9,0
17934591,8,58,"F","Silver",3000,3,0
28328000,7,55,"F","Silver",2000,19,0
11719885,6,54,"M","Tin",0.01,7,0
40423460,9,64,"F","Gold",6053.34,6,1
34878390,9,33,"F","Silver",2400,0,1
30643066,4,35,"M","Silver",2000,6,0
42665274,7,NA,"M","Silver",1073.25,4,0
47671906,9,45,"F","Silver",2000,5,0
13072501,15,44,"F","Tin",0.01,10,0
49891504,12,NA,"F","Silver",50.01,8,0
37714216,8,51,"M","Tin",0.01,6,0
27767426,6,49,"M","Silver",4842.12,9,0
18221688,8,43,"U","Silver",50,7,0
29440,8,37,"M","Silver",1000,9,1
33821433,12,NA,"F","Tin",0.01,4,1
32699804,13,75,"F","Silver",5000,9,1
52443504,14,51,"M","Silver",300,8,0
48370071,9,30,"F","Silver",420,7,0
47209765,7,72,"F","Silver",4000,1,0
30370094,6,63,"M","Silver",1450.45,14,0
16862708,NA,52,NA,"Silver",100.01,10,0
18294847,4,74,"M","Gold",6000,1,0
29515475,4,50,"M","Gold",15000,4,0
9958797,4,59,"M","Silver",960,5,0
31915821,12,50,"F","Tin",0.01,5,0
12007447,6,71,"F","Gold",6600,8,0
37257699,4,21,"F","Gold",6000,2,0
7299141,3,63,"F","Silver",3000.01,8,0
30224667,9,NA,NA,"Silver",4200,11,0
43422235,7,70,"F","Silver",2500,7,1
43454170,8,42,"F","Silver",1020,11,1
10942629,9,35,"U","Tin",0.01,5,0
29495652,14,40,"F","Silver",500,9,0
5876575,5,NA,"M","Gold",6000,9,0
745421,5,62,NA,"Silver",0.02,8,0
11363231,10,42,"F","Tin",0.01,8,1
35218319,10,38,"F","Gold",8742.92,1,0
28924703,9,42,"F","Tin",0.01,4,0
40333959,8,65,"F","Gold",10000,3,0
9503285,12,56,"F","Gold",15266.22,3,0
48610927,11,79,"F","Silver",4884.25,31,1
46043561,12,42,"F","Tin",0.01,5,0
48002773,3,72,"M","Platinum",25001.7,4,0
6004288,5,NA,"F","Gold",6000,2,1
3701123,7,63,"F","Gold",10000,4,0
29632188,5,33,"F","Silver",50,1,0
3933555,6,52,"F","Gold",12105.32,NA,0
46347641,6,50,"U","Tin",0.01,8,0
30359325,12,53,"F","Silver",1000,1,1
48850472,11,76,NA,"Platinum",20367.69,3,1
6430031,6,72,"M","Silver",300,10,0
35429328,9,28,NA,"Tin",0.01,5,0
51217454,7,70,"M","Gold",12000,10,0
5814901,13,60,"U","Silver",50,11,0
41142960,9,44,"M","Tin",0.01,4,1
46010469,10,46,"M","Tin",0.01,5,0
12727938,10,NA,"F","Gold",18000,1,0
52121027,4,51,"F","Silver",420,4,0
41559080,10,52,"F","Tin",0.01,4,1
52347238,12,65,"M","Silver",5000,4,0
11190450,4,48,"F","Silver",1000,1,0
46230108,NA,42,"F","Silver",3000,2,1
50908240,16,49,"F","Silver",2000,6,1
32705294,8,78,"F","Platinum",23343.73,13,1
9888454,5,71,"F","Gold",6000,12,0
4319370,7,76,"M","Gold",18000,3,0
12008206,7,52,"U","Gold",6000,4,0
28387031,5,41,"F","Tin",0.01,10,0
4352831,6,53,"F","Gold",7410,8,0
2445271,13,42,"M","Tin",0.01,5,1
3610411,8,58,"M","Tin",0.01,4,0
7142846,6,49,"M","Gold",6300,27,0
40146717,11,53,NA,"Silver",1000,4,0
31883687,19,32,"F","Tin",0.01,4,1
25467026,9,NA,"F","Tin",0.01,5,0
26342197,10,NA,"M","Gold",18000,9,0
48066020,11,47,"F","Tin",0.01,1,0
7068077,9,48,"F","Tin",0.01,8,0
7937253,10,44,"F","Tin",0.01,8,1
12097217,NA,45,"M","Tin",0.01,8,0
33095678,4,44,"F","Silver",2000,1,1
3682315,11,69,"U","Tin",0.01,8,0
9737499,15,34,"F","Silver",5000,10,1
48166229,NA,72,"F","Silver",2500.01,28,0
25774611,10,75,"F","Silver",3000,12,0
42473065,5,61,"U","Silver",500,9,0
28497619,5,41,"F","Tin",0.01,9,0
11403624,8,53,"F","Gold",6053.34,10,0
4022092,9,60,"M","Tin",0.01,5,0
9072233,7,NA,"F","Tin",0.01,6,1
17368707,14,46,"M","Silver",3000,3,0
12225339,9,70,"F","Silver",1000,3,0
1941658,6,63,"M","Platinum",30131.68,6,0
4716639,5,35,"F","Gold",6000,4,0
35307273,9,70,"F","Gold",12000,8,0
30241332,11,46,"F","Tin",0.01,5,1
34550590,10,NA,"M","Silver",3000,3,0
49240317,8,55,"F","Tin",0.01,4,0
29098165,9,73,"F","Gold",17606.7,8,0
46092473,11,60,"F","Silver",1500,10,0
24329835,8,75,NA,"Gold",6105.32,9,0
50012875,6,NA,"F","Gold",6107.64,6,0
52020069,4,72,"U","Gold",6000,2,0
18545467,7,NA,"F","Gold",20000,24,0
13502719,5,68,"F","Gold",8053.34,9,0
3809315,8,75,"U","Silver",2000,7,0
11573929,5,62,"F","Silver",3000,9,0
42477664,8,58,"F","Silver",100,1,0
37543098,5,63,"F","Platinum",25000,8,0
6845762,11,64,"U","Gold",6000,6,0
41318511,7,56,"M","Gold",10000,5,0
6677509,11,74,"F","Gold",20000,1,0
40999590,6,48,"F","Gold",6053.35,6,0
46623355,4,54,"U","Gold",12106.7,6,0
38366084,11,49,"F","Gold",6000,9,0
34847665,4,72,"M","Silver",1500,NA,0
14539047,15,65,"F","Silver",5000,4,0
34032300,8,67,"M","Silver",3000,2,0
37046264,7,NA,"F","Tin",0.01,5,0
49334737,3,61,"F","Platinum",21553.35,22,0
13061755,7,59,"M","Silver",1550,5,0
45584232,11,54,"F","Silver",1017.55,8,1
12526118,10,55,"U","Silver",1000,1,0
18075045,9,26,"F","Silver",40,3,1
35959017,NA,46,NA,"Tin",0.01,5,0
11770503,11,65,"F","Silver",50,7,0
45909581,8,58,"M","Gold",18000,9,0
16628268,7,65,"F","Gold",6000,11,0
37221899,5,41,"F","Silver",420,1,0
9761586,9,41,NA,"Tin",0.01,5,0
52393000,15,34,"F","Silver",2017.78,7,1
8395411,NA,51,"M","Tin",0.01,8,0
408964,9,54,"F","Silver",3000,8,0
46976495,NA,36,"M","Tin",0.01,8,0
17074606,10,32,"M","Silver",420.01,5,0
33467010,8,NA,"M","Silver",420,5,1
35189424,13,38,"F","Silver",0.02,8,1
10187456,9,37,"F","Silver",900,1,0
27081443,12,48,"F","Silver",50,10,1
24593702,7,44,"F","Tin",0.01,5,0
29062004,8,43,"F","Tin",0.01,7,0
3750264,7,24,"F","Silver",3000,5,1
3789144,12,59,"F","Gold",6000,11,0
11923504,6,65,"U","Silver",3005.86,13,0
52411939,NA,71,"F","Gold",6000,2,0
12063495,10,NA,"U","Gold",6000,2,0
47012350,11,47,"M","Tin",0.01,5,0
31949882,6,67,"M","Gold",6000,2,0
35099476,6,73,"F","Gold",11000,13,0
33643241,15,58,"F","Tin",0.01,6,1
52030390,10,61,"F","Gold",19250,2,1
7438060,10,42,NA,"Tin",0.01,5,0
3821250,10,47,"M","Gold",6000,2,0
28837371,10,33,NA,"Tin",0.01,8,0
37380776,10,74,"F","Silver",3052.65,8,0
6477747,8,40,NA,"Tin",0.01,5,0
19390491,10,79,"F","Silver",1000,11,1
6438644,7,60,"F","Silver",3000,3,0
22021264,7,49,"F","Silver",3000,1,0
42793167,9,48,"M","Gold",16000,1,0
11432861,8,49,"M","Tin",0.01,8,0
28303180,14,NA,"F","Silver",2000,5,1
13441841,7,77,"F","Gold",12000,2,0
38541480,8,54,"F","Silver",3000,8,0
3848337,NA,45,"F","Silver",3000.01,8,0
18658296,18,37,"F","Tin",0.01,5,1
7017030,15,59,"F","Gold",6000,1,1
30192765,13,46,"M","Silver",2000.01,8,0
18603297,8,52,"F","Gold",6053.35,6,0
3774902,7,NA,"M","Gold",12000,1,0
27419312,8,29,"U","Silver",1200,5,0
34832854,12,67,NA,"Gold",10001.74,4,0
1472623,3,59,"F","Gold",12000,4,0
653500,NA,32,"F","Silver",2500,1,1
15167399,9,60,"F","Tin",0.01,10,0
33870760,10,36,"U","Silver",1800,8,0
35688293,7,39,"F","Tin",0.01,5,1
15166260,7,47,NA,"Silver",920,4,0
37760498,10,47,"M","Tin",0.01,8,0
16308395,NA,46,"F","Gold",8000,1,0
44542781,6,69,"U","Tin",0.01,8,0
3839869,11,59,"M","Silver",1000,9,0
24690805,7,67,"M","Gold",7910.92,8,0
28961137,9,47,"F","Silver",1000,2,0
48742270,10,62,"F","Gold",6000,4,0
46574460,6,47,"F","Silver",3000,16,0
49959427,10,74,"F","Gold",10000,1,0
127892,10,60,NA,"Silver",1020,9,0
25001809,9,51,"F","Tin",0.01,5,0
7284381,9,73,"M","Silver",5000,4,0
13618997,15,NA,"M","Silver",5000,5,0
49727151,8,51,NA,"Gold",6105.32,7,0
4128869,4,NA,NA,"Platinum",24053.35,9,1
44952203,8,76,"M","Tin",0.01,6,0
9860894,11,33,"F","Platinum",66000,4,1
31323804,4,69,"M","Tin",0.01,5,0
41718960,13,56,"M","Tin",0.01,4,0
36587474,6,42,"F","Tin",0.01,5,0
27401030,10,76,"F","Gold",18000,1,0
10023267,5,53,NA,"Gold",10000,1,0
8576254,NA,32,NA,"Tin",0.01,5,0
5920299,8,55,"F","Tin",0.01,5,0
32565042,6,71,"F","Silver",1000,1,0
3543773,11,54,"F","Silver",1500,8,0
35252053,10,60,"M","Tin",0.01,9,0
10202072,13,NA,NA,"Silver",3000,3,0
9887431,9,48,"F","Tin",0.01,5,1
23695552,3,77,"F","Silver",3000,19,0
24192376,13,29,"M","Silver",600,1,1
29971330,9,NA,NA,"Tin",0.01,5,1
26246511,6,34,"F","Silver",0.02,6,0
48197990,9,NA,"U","Tin",0.01,7,1
29282667,8,41,"F","Tin",0.01,9,1
47176140,6,33,"F","Tin",0.01,8,0
18341586,3,78,NA,"Gold",12000,2,0
36832169,9,77,"M","Silver",5000,4,0
19610211,13,56,"F","Silver",2000,29,0
47381886,5,45,"F","Silver",3000,1,0
38309471,8,68,"M","Gold",6000,5,0
49435070,6,67,"F","Silver",2000,2,0
3592502,16,70,"F","Gold",19053.34,14,1
26515423,6,48,"M","Gold",6000,1,0
47899222,10,53,"F","Silver",360,9,0
32529780,12,58,"U","Silver",3000,8,0
3700046,13,40,"U","Silver",100,7,1
42707678,12,NA,"F","Silver",0.02,4,1
6710662,5,46,NA,"Tin",0.01,8,0
33988184,10,42,NA,"Gold",12000,8,0
46047214,5,36,"U","Tin",0.01,4,1
14475251,11,63,"M","Gold",6000,3,0
42262781,2,53,"F","Silver",1026.69,9,0
38375849,10,49,"M","Silver",35,3,0
17512190,8,52,NA,"Silver",50.01,11,0
7067410,10,28,"F","Silver",1200,1,1
39019809,8,51,"F","Tin",0.01,8,0
36470631,11,59,"M","Silver",5000,4,0
28587782,5,57,"M","Silver",1000,1,0
7287720,9,48,"F","Silver",1200,5,0
31333907,8,79,"F","Silver",1000,12,0
41306416,4,79,"M","Platinum",50093.63,0,0
21527741,13,56,"M","Silver",250,6,0
44885468,3,48,"F","Gold",15052.66,7,0
18110002,8,66,NA,"Gold",6500,6,0
12471461,6,65,"M","Gold",6000,1,0
9363068,15,66,"F","Gold",6000,6,0
30452767,8,77,"F","Platinum",33934.25,12,1
47829771,8,70,"M","Gold",14500,14,0
14820811,NA,45,"F","Silver",1000,NA,0
35747354,4,73,"F","Silver",2293.12,4,0
10219978,10,39,"M","Tin",0.01,5,0
7959834,10,45,"U","Gold",16053.35,6,0
35107444,6,58,"U","Tin",0.01,5,0
795267,17,NA,"F","Silver",1000,13,1
40633510,5,54,NA,"Tin",0.01,6,0
34109850,8,51,"F","Gold",6106.7,27,1
28476247,15,34,"F","Gold",6053.35,NA,1
10048804,14,70,"U","Gold",6000,5,0
32570577,12,43,"F","Tin",0.01,5,0
27089495,9,54,"M","Gold",10000,1,0
43837656,15,49,"F","Silver",3000,8,0
13606166,8,35,NA,"Silver",104.57,5,0
52034035,10,39,"F","Tin",0.01,10,1
16295234,5,61,"M","Platinum",26000,1,0
17321328,6,63,NA,"Gold",6000,17,0
7400675,9,52,"F","Silver",3500,7,0
39010976,3,52,"M","Tin",0.01,5,0
2245329,9,46,"F","Silver",5000,2,0
35240616,6,79,"F","Tin",0.01,6,0
18563309,12,NA,"M","Tin",0.01,8,0
50662438,7,56,"F","Gold",14961.52,9,0
34592012,7,35,"F","Tin",0.01,5,1
33671520,6,33,NA,"Tin",0.01,4,0
861820,5,54,"F","Silver",1000,2,0
17353009,11,56,"M","Tin",0.01,8,0
10194215,4,54,NA,"Gold",6000,5,0
6690416,8,63,"M","Silver",4000,2,0
24727849,7,40,"M","Platinum",22200,7,1
17122910,13,40,"F","Tin",0.01,7,0
40432876,7,45,NA,"Silver",2000,5,0
27100448,14,65,"F","Gold",12000,12,1
16576411,10,78,"F","Silver",3000,27,0
1771388,10,39,"F","Silver",600,1,1
7164777,6,52,"M","Silver",60.01,8,0
22225021,14,44,"F","Silver",3000,8,1
28761367,11,54,"F","Tin",0.01,5,0
38884913,12,41,"F","Tin",0.01,9,1
4093860,6,55,"F","Silver",500,8,0
29064996,15,67,"F","Gold",6053.35,6,1
3518108,10,55,NA,"Tin",0.01,5,0
30827574,11,70,"F","Tin",0.01,8,0
18672159,8,41,NA,"Tin",0.01,6,0
15080072,NA,56,NA,"Gold",11000,5,0
29230136,9,53,NA,"Silver",1000,8,0
25063952,13,76,"F","Gold",6000,2,1
35940987,5,46,"F","Tin",0.01,8,0
45393895,6,72,"F","Gold",12000,8,1
38394037,7,76,"F","Platinum",31000,5,0
34298289,7,62,"M","Tin",0.01,5,0
9674039,7,71,NA,"Platinum",65703.3,12,0
37868841,9,35,NA,"Silver",100,8,1
28751914,13,34,"F","Silver",2400,1,1
7027389,7,60,"F","Gold",7600,8,0
47866774,12,58,"M","Silver",1000,1,1
38369725,4,57,"U","Silver",4000,7,0
52145473,11,42,"F","Silver",1500,2,0
7463685,4,60,NA,"Silver",3000,2,0
45411370,13,76,"U","Silver",3000,8,0
6715397,5,NA,"M","Silver",3000,8,0
